date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:26	17677/17677	---M-Z	200	added ('OK')	text/html	etag:%22338128c-450d-5685533558726-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview.html	(from )
14:30:26	154/154	---M--	200	added ('OK')	text/plain	etag:%223381986-9a-5611b71b3b60b%22	http://mgsdemo.mgscoder.com/robots.txt		(from )
14:30:27	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2233d7eaf-47e-55bee3ed45480%22	http://mgsdemo.mgscoder.com/html5/aboutme/favicon.ico	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/favicon.ico	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:28	31000/31000	---M--	200	added ('OK')	text/css	etag:%2233f1bc8-7918-5444495213680%22	http://mgsdemo.mgscoder.com/html5/aboutme/css/font-awesome.min.css	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/css/font-awesome.min.css	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:28	121200/121200	---M--	200	added ('OK')	text/css	etag:%2233f1bc7-1d970-5387b234dfe00%22	http://mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/css/bootstrap.min.css	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:30	10387/10387	---M--	200	added ('OK')	text/css	etag:%2233937ae-2893-5671e7e1c3767%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/css/preview.css	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/css/preview.css	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:31	3936/3936	---M--	200	added ('OK')	text/css	etag:%2233f1bba-f60-5454a548d5c00%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/css/preloader.css	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/css/preloader.css	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:32	4403/4403	---M--	200	added ('OK')	image/png	etag:%22385057d-1133-55e9bef57be00%22	http://mgsdemo.mgscoder.com/html5/aboutme/images/logo.png	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/images/logo.png	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:32	74995/74995	---M-Z	200	added ('OK')	text/html	etag:%223381334-124f3-566d2b5db7888-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:33	24718/24718	---M--	200	added ('OK')	image/jpeg	etag:%22338198c-608e-55e93db33be56%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-1.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-1.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:33	73929/73929	---M-Z	200	added ('OK')	text/html	etag:%2233819ce-120c9-566d2b5b1e415-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index-2.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index-2.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:35	75654/75654	---M-Z	200	added ('OK')	text/html	etag:%22338f9be-12786-566d2b5d00eae-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index-animated.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index-animated.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:36	74410/74410	---M-Z	200	added ('OK')	text/html	etag:%2233938a3-122aa-566d2b5c03fd6-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index-3.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index-3.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:37	30730/30730	---M--	200	added ('OK')	image/jpeg	etag:%22338bd4d-780a-55e93db3861d4%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-2.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-2.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:38	23272/23272	---M--	200	added ('OK')	image/jpeg	etag:%22338bd53-5ae8-55e93db3bb563%22	http://mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-3.jpg	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/preview/img/demo-3.jpg	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
14:30:38	73344/73344	---M-Z	200	added ('OK')	text/html	etag:%22338f919-11e80-566d2b5d62d13-gzip%22	http://mgsdemo.mgscoder.com/html5/aboutme/index-4.html	C:/Users/HosseiN/Desktop/AboutMe/Aboutme/mgsdemo.mgscoder.com/html5/aboutme/index-4.html	(from http://mgsdemo.mgscoder.com/html5/aboutme/preview.html)
